trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.0035, 'e': 0.9757882125364329}",20,0,-89.0082547242017,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
64,False,"{'a': 0.0035, 'e': 0.9750167259968777}",35,0,-177.26540197433548,"{0: 21, 1: 5, 2: 5, 3: 2, 4: 2}",0
65,False,"{'a': 0.0035, 'e': 0.9742332955146219}",25,0,-164.170942427604,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
66,False,"{'a': 0.0035, 'e': 0.9734379306866789}",25,0,-106.83573139829535,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
67,False,"{'a': 0.0035, 'e': 0.9726306412562582}",20,0,-71.55097792887146,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.0035, 'e': 0.971811437112645}",30,3,-114.3192215479825,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 2}",1
69,False,"{'a': 0.0035, 'e': 0.9709803282910798}",35,0,-169.78178232153198,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 2}",0
70,False,"{'a': 0.0035, 'e': 0.9701373249726354}",30,0,-76.50195637174282,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
71,False,"{'a': 0.0035, 'e': 0.9692824374840918}",20,0,-73.7960595338488,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
72,False,"{'a': 0.0035, 'e': 0.9684156762978101}",20,4,-24.716623729005914,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.0035, 'e': 0.967537052031604}",30,0,-225.10208951426955,"{0: 17, 1: 5, 2: 2, 3: 2, 4: 4}",0
74,False,"{'a': 0.0035, 'e': 0.9666465754486098}",20,0,-122.90362878825091,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
75,False,"{'a': 0.0035, 'e': 0.9657442574571544}",20,0,-98.23654634353068,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
76,False,"{'a': 0.0035, 'e': 0.9648301091106221}",20,0,-106.20851358097313,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
77,False,"{'a': 0.0035, 'e': 0.9639041416073185}",20,0,-100.33321965867697,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
78,False,"{'a': 0.0035, 'e': 0.962966366290334}",35,0,-226.17322092796826,"{0: 20, 1: 2, 2: 9, 3: 1, 4: 3}",0
79,False,"{'a': 0.0035, 'e': 0.9620167946474046}",25,0,-118.49315072863713,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
80,False,"{'a': 0.0035, 'e': 0.9610554383107709}",25,0,-213.23799108208294,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
